id_donateur,type_depot,date_depot
1,boutique,2024-01-10
2,domicile,2024-01-12
3,boutique,2024-01-15
4,domicile,2024-01-18
5,boutique,2024-01-20
6,boutique,2024-01-22
7,domicile,2024-01-25
8,boutique,2024-01-28
9,domicile,2024-02-01
10,boutique,2024-02-03
11,domicile,2024-02-05
12,boutique,2024-02-07
13,domicile,2024-02-10
14,boutique,2024-02-12
15,domicile,2024-02-15
1,boutique,2024-02-18
3,domicile,2024-02-20
6,boutique,2024-02-22
10,domicile,2024-02-25
12,boutique,2024-02-28
2,domicile,2024-03-01
4,boutique,2024-03-03
7,domicile,2024-03-05
9,boutique,2024-03-08
11,domicile,2024-03-10
