date_entree,date_sortie,resultat,recyclage,id_article,id_benevole
2024-01-15,2024-02-01,reussie,false,2,1
2024-01-18,2024-02-05,reussie,false,6,3
2024-01-20,2024-02-10,reussie,false,11,2
2024-01-25,2024-02-15,echouee,true,9,4
2024-02-01,2024-02-20,reussie,false,17,5
2024-02-05,2024-02-25,reussie,false,22,2
2024-02-10,2024-03-01,echouee,true,25,6
2024-02-15,2024-03-05,reussie,false,14,3
2024-02-20,2024-03-10,reussie,false,8,7
2024-02-25,2024-03-15,reussie,false,19,8
2024-03-01,2024-03-20,reussie,false,1,1
2024-03-05,2024-03-25,echouee,true,3,4
2024-03-10,2024-04-01,reussie,false,5,2
2024-03-15,2024-04-05,reussie,false,7,9
